0
columnName_sliceName
"precisionVal, recallVal, fbetaVal"
"('Total_NoSlice', 0.7706959706959707, 0.6658227848101266, 0.7144312393887946)"
"('workclass_ ?', (0.6451612903225806, 0.5263157894736842, 0.5797101449275363))"
"('workclass_ Federal-gov', (0.7285714285714285, 0.7611940298507462, 0.7445255474452556))"
"('workclass_ Local-gov', (0.7377049180327869, 0.743801652892562, 0.7407407407407408))"
"('workclass_ Never-worked', (1.0, 1.0, 1.0))"
"('workclass_ Private', (0.7941860465116279, 0.64739336492891, 0.7133159268929504))"
"('workclass_ Self-emp-inc', (0.7241379310344828, 0.8484848484848485, 0.7813953488372093))"
"('workclass_ Self-emp-not-inc', (0.6952380952380952, 0.553030303030303, 0.6160337552742615))"
"('workclass_ State-gov', (0.8360655737704918, 0.75, 0.7906976744186046))"
"('workclass_ Without-pay', (1.0, 1.0, 1.0))"
"('education_ 10th', (1.0, 0.21428571428571427, 0.35294117647058826))"
"('education_ 11th', (0.8571428571428571, 0.42857142857142855, 0.5714285714285714))"
"('education_ 12th', (0.75, 0.6, 0.6666666666666665))"
"('education_ 1st-4th', (1.0, 1.0, 1.0))"
"('education_ 5th-6th', (1.0, 0.3333333333333333, 0.5))"
"('education_ 7th-8th', (0.6666666666666666, 0.2857142857142857, 0.4))"
"('education_ 9th', (1.0, 0.125, 0.2222222222222222))"
"('education_ Assoc-acdm', (0.625, 0.46511627906976744, 0.5333333333333334))"
"('education_ Assoc-voc', (0.704225352112676, 0.6944444444444444, 0.6993006993006993))"
"('education_ Bachelors', (0.779835390946502, 0.8115631691648822, 0.7953830010493179))"
"('education_ Doctorate', (0.84375, 0.8852459016393442, 0.864))"
"('education_ HS-grad', (0.7630057803468208, 0.3940298507462687, 0.5196850393700788))"
"('education_ Masters', (0.7741935483870968, 0.8888888888888888, 0.8275862068965517))"
"('education_ Preschool', (1.0, 1.0, 1.0))"
"('education_ Prof-school', (0.925, 0.9367088607594937, 0.9308176100628932))"
"('education_ Some-college', (0.7130044843049327, 0.5618374558303887, 0.6284584980237153))"
